condition;lambda;gen_time;temp;food
inter_20;1.00961715237537;157.597003496537;20;inter
inter_20;0.997257724415679;141.545798058072;20;inter
inter_20;1.00598517683675;154.604823781138;20;inter
inter_20;1.00033160580303;149.751792721147;20;inter
inter_20;1.01113841709402;153.521133686885;20;inter
inter_20;1.0037137317681;147.00042017741;20;inter
inter_20;0.999510837855511;146.936373012728;20;inter
inter_20;1.01413682603559;166.228325505279;20;inter
inter_20;1.00461445860336;154.306798308516;20;inter
inter_20;0.992230600658462;147.937063185158;20;inter
inter_20;1.00142016627705;149.381654854574;20;inter
inter_20;1.00086819521923;157.426327153656;20;inter
inter_20;0.994039917342316;150.862563626408;20;inter
inter_20;1.0035435497931;146.752801588517;20;inter
inter_20;1.00484020431855;158.057968261239;20;inter
inter_20;1.00846888328062;154.383361343657;20;inter
inter_20;0.998406704791159;156.010859182483;20;inter
inter_20;1.00013950451818;143.430218198773;20;inter
inter_20;0.993854620714983;144.434217661058;20;inter
inter_20;1.00244062290396;156.481177261194;20;inter
inter_20;0.998477389496969;142.531221702696;20;inter
inter_20;0.996254524485344;148.09571606723;20;inter
inter_20;1.00584468749186;148.024913340412;20;inter
inter_20;1.00593649193033;147.234840226823;20;inter
inter_20;1.00577123172825;152.532250739678;20;inter
inter_20;1.00142805190899;148.636903485805;20;inter
inter_20;1.00140622241327;148.649842852187;20;inter
inter_20;1.00444029005043;155.41692976378;20;inter
inter_20;1.0107269068499;163.38726459614;20;inter
inter_20;1.00540668446856;149.822257803523;20;inter
inter_20;1.00289131701171;150.411445331191;20;inter
inter_20;1.00566977609918;148.990571477176;20;inter
inter_20;0.996487093392491;147.14154525188;20;inter
inter_20;0.998774190128663;149.165037462761;20;inter
inter_20;1.00293464458339;152.180752232794;20;inter
inter_20;0.994507177412172;148.414194738839;20;inter
inter_20;1.0088515864031;157.012452839224;20;inter
inter_20;0.992055483817668;143.733625266618;20;inter
inter_20;1.00366582638335;144.121346551859;20;inter
inter_20;1.00105692309226;149.224761883234;20;inter
inter_20;1.00368736482393;145.409387199772;20;inter
inter_20;1.00209676597622;149.433728854541;20;inter
inter_20;1.00974305851712;158.41669539504;20;inter
inter_20;1.00676088261547;160.653949005709;20;inter
inter_20;1.00207531473287;151.541560137159;20;inter
inter_20;1.00962604319486;155.021500914857;20;inter
inter_20;1.0080044899263;155.929990354117;20;inter
inter_20;1.00543919003316;154.809098061229;20;inter
inter_20;1.00497236860191;154.44402500563;20;inter
inter_20;1.00826040144857;149.506654551076;20;inter
inter_20;1.00128673784842;154.580273198389;20;inter
inter_20;1.00320461192488;147.6965206105;20;inter
inter_20;1.00258332341252;151.134082215674;20;inter
inter_20;1.00899109298636;152.177661021077;20;inter
inter_20;0.995166227428429;150.738110173123;20;inter
inter_20;1.00017970726163;153.738760299036;20;inter
inter_20;1.00214648244052;151.914238890748;20;inter
inter_20;1.00077810020676;148.671438128656;20;inter
inter_20;1.00201028922288;149.309047310216;20;inter
inter_20;0.997944796166497;146.808416074073;20;inter
inter_20;1.00065645359245;151.354873809793;20;inter
inter_20;1.01186313704069;157.81925481601;20;inter
inter_20;1.00117268214789;150.336378806906;20;inter
inter_20;1.00664731002287;157.076852703696;20;inter
inter_20;0.99778848452267;148.991968186553;20;inter
inter_20;1.00132079627973;150.248927390446;20;inter
inter_20;1.003612357372;150.93634153463;20;inter
inter_20;1.00801567445641;165.225406532809;20;inter
inter_20;0.996174613668935;150.70137105899;20;inter
