age;condition;surv;temp;food;size;log_size;total
102;conti_30;0.892857142857143;30;Continuous;21.7573747361872;3.07995276839446;84
104;conti_30;0.880952380952381;30;Continuous;22.0066001543919;3.09134241538302;84
113;conti_30;0.869047619047619;30;Continuous;23.0671164291715;3.13840807213991;84
118;conti_30;0.845238095238095;30;Continuous;23.6154462887261;3.16190100169697;84
154;conti_30;0.833333333333333;30;Continuous;26.8343545774386;3.28968295381872;84
165;conti_30;0.80952380952381;30;Continuous;27.6038038516776;3.31795358393966;84
171;conti_30;0.797619047619048;30;Continuous;27.9884107788569;3.33179052373953;84
177;conti_30;0.785714285714286;30;Continuous;28.3501225174023;3.34463135176592;84
179;conti_30;0.761904761904762;30;Continuous;28.4658432289879;3.34870488532588;84
188;conti_30;0.75;30;Continuous;28.9582637005819;3.36585561062973;84
190;conti_30;0.738095238095238;30;Continuous;29.061669408934;3.36942010346163;84
201;conti_30;0.726190476190476;30;Continuous;29.5940877405173;3.38757460288359;84
218;conti_30;0.714285714285714;30;Continuous;30.3076524831205;3.41140023782682;84
219;conti_30;0.702380952380952;30;Continuous;30.3458871711718;3.41266099501704;84
229;conti_30;0.69047619047619;30;Continuous;30.7074732409656;3.42450605301383;84
244;conti_30;0.666666666666667;30;Continuous;31.1850127975724;3.4399376203539;84
262;conti_30;0.654761904761905;30;Continuous;31.6692722233937;3.45534688028631;84
266;conti_30;0.642857142857143;30;Continuous;31.7653042274705;3.45837463211543;84
280;conti_30;0.630952380952381;30;Continuous;32.0720955259041;3.46798635381869;84
286;conti_30;0.619047619047619;30;Continuous;32.1907104141396;3.47167791447196;84
287;conti_30;0.607142857142857;30;Continuous;32.2097814037198;3.47227017672336;84
293;conti_30;0.595238095238095;30;Continuous;32.3202000169482;3.47569242227694;84
299;conti_30;0.583333333333333;30;Continuous;32.4240455426945;3.4789002939233;84
301;conti_30;0.571428571428571;30;Continuous;32.4572683465291;3.47992440409452;84
302;conti_30;0.559523809523809;30;Continuous;32.4736266018077;3.48042827072497;84
308;conti_30;0.547619047619047;30;Continuous;32.5683388271542;3.48334061482975;84
323;conti_30;0.535714285714286;30;Continuous;32.7811813744593;3.48985461215558;84
324;conti_30;0.523809523809524;30;Continuous;32.7942431981753;3.49025298773527;84
325;conti_30;0.511904761904762;30;Continuous;32.8071720929745;3.49064715285836;84
326;conti_30;0.5;30;Continuous;32.8199694116615;3.49103715365851;84
335;conti_30;0.488095238095238;30;Continuous;32.9294408623949;3.49436711666303;84
336;conti_30;0.476190476190476;30;Continuous;32.9409938636389;3.49471789623237;84
337;conti_30;0.464285714285714;30;Continuous;32.9524292911065;3.49506498481981;84
344;conti_30;0.452380952380952;30;Continuous;33.0292842079444;3.49739456820041;84
70;conti_30;0.988095238095238;30;Continuous;16.9912770517531;2.83270009776511;84
84;conti_30;0.976190476190476;30;Continuous;19.2692925399783;2.95851276872578;84
85;conti_30;0.964285714285714;30;Continuous;19.419863549754;2.96629643656424;84
87;conti_30;0.94047619047619;30;Continuous;19.7164241240303;2.98145200027895;84
90;conti_30;0.928571428571429;30;Continuous;20.1500429195168;3.00320641839126;84
92;conti_30;0.916666666666667;30;Continuous;20.4318171883292;3.01709335192876;84
98;conti_30;0.904761904761905;30;Continuous;21.2433638712243;3.05604455818527;84
104;conti_20;0.959459459459459;20;Continuous;20.9165852653196;3.04054239763834;74
108;conti_20;0.932432432432432;20;Continuous;21.4551196516557;3.06596329529374;74
112;conti_20;0.918918918918919;20;Continuous;21.9778770420639;3.0900363584174;74
122;conti_20;0.891891891891892;20;Continuous;23.2187461597121;3.14495997652204;74
163;conti_20;0.878378378378378;20;Continuous;27.4431687947484;3.31211727704846;74
169;conti_20;0.864864864864865;20;Continuous;27.9603298712011;3.33078671526458;74
177;conti_20;0.851351351351351;20;Continuous;28.6149575473837;3.35392957228085;74
188;conti_20;0.824324324324324;20;Continuous;29.4538090039749;3.38282323972991;74
200;conti_20;0.810810810810811;20;Continuous;30.2939864189807;3.4109492247975;74
209;conti_20;0.797297297297297;20;Continuous;30.8767225925815;3.43000258586407;74
211;conti_20;0.783783783783784;20;Continuous;31.001009890329;3.43401978106191;74
232;conti_20;0.77027027027027;20;Continuous;32.2003084037194;3.47197603025976;74
234;conti_20;0.756756756756757;20;Continuous;32.305063585352;3.47522398529025;74
284;conti_20;0.743243243243243;20;Continuous;34.4761255779159;3.540267072252;74
306;conti_20;0.72972972972973;20;Continuous;35.2037253417859;3.56115191057754;74
312;conti_20;0.716216216216216;20;Continuous;35.3823645847974;3.56621352043836;74
