coef;cond;median;q2.5;q97.5;temp;food
K;inter_20;0.00623889196532715;0.00553583087717314;0.00696324374655319;20;Intermittent
K;conti_20;0.00742972765075558;0.00684913231493509;0.00803886774118296;20;Continous
K;inter_30;0.0103252838971237;0.00954969989622713;0.0111228798923936;30;Intermittent
K;conti_30;0.0102266952034158;0.00946433601914374;0.0110168146802332;30;Continous
Linf;inter_20;38.9972381606154;37.438202279699;40.8023767362211;20;Intermittent
Linf;conti_20;39.2895988023859;38.3214010983513;40.3530950600857;20;Continous
Linf;inter_30;33.1342370021104;32.4822070430689;33.8311863260667;30;Intermittent
Linf;conti_30;34.0601043006576;33.4005147995225;34.7597507712972;30;Continous
t0;inter_20;4.13615944072651;-0.370406471254549;8.47812257714522;20;Intermittent
t0;conti_20;1.80604236101118;-1.73990975565095;5.20923883277136;20;Continous
t0;inter_30;4.83334528626648;1.24740303640067;8.09868001550517;30;Intermittent
t0;conti_30;2.49919688713585;-1.03283320790361;5.82397232372471;30;Continous
