condition;lambda;gen_time;sensi;lambda_ratio;gen_time_ratio
inter_30;1.0722584164863;48.2081240255299;baseline;1;1
inter_30;1.07136242449755;47.4005623301224;survival_+1;0.999164388010413;0.983248431426623
inter_30;1.07307053608442;49.0374665244334;survival_-1;1.00075739167502;1.01720337631193
inter_30;1.07308823314402;47.6021746780623;Linf_+1;1.00077389614757;0.987430555332402
inter_30;1.07142395338979;48.8319362450015;Linf_-1;0.999221770532474;1.01293998121855
inter_30;1.07280093727167;47.8293519886036;k_+1;1.00050596085517;0.992142983271333
inter_30;1.07171394026647;48.5940107036742;k_-1;0.999492215485132;1.00800459851829
inter_30;1.07596575593555;46.4503495003774;repro_proba_+1;1.00345750557165;0.963537794496596
inter_30;1.06865549452977;50.0222413305632;repro_proba_-1;0.99663987533123;1.03763094585619
inter_30;1.07320362474334;48.1484654411845;fecundity_+1;1.00088151162304;0.998762478616388
inter_30;1.0713159420827;48.2681172892323;fecundity_-1;0.999121037998762;1.00124446376861
inter_30;1.07229131557712;48.1879740127913;size_t0_+1;1.00003068205417;0.999582020392914
inter_30;1.07222695939853;48.2273435504763;size_t0_-1;0.999970662773746;1.00039867813434
inter_30;1.07251495788393;48.1855225821428;survival_t0_+1;1.00023925333081;0.999531169406735
inter_30;1.07199954586833;48.230989604167;survival_t0_-1;0.999758574412673;1.00047430965422
inter_20;1.00234678041145;150.179600511831;baseline;1;1
inter_20;0.999505566479795;147.754956899912;survival_+1;0.997165438162537;0.983855040207485
inter_20;1.00489746482253;152.658671006116;survival_-1;1.00254471252956;1.0165073717458
inter_20;1.00262911866885;148.042830071874;Linf_+1;1.00028167722281;0.985771899561094
inter_20;1.00206353283118;152.377822109814;Linf_-1;0.999717415583296;1.01463728489416
inter_20;1.00246938145706;148.997821077017;k_+1;1.0001223140015;0.992130892406247
inter_20;1.00222436910072;151.381680720986;k_-1;0.99987787528915;1.00800428423739
inter_20;1.00591316907039;144.731237799075;repro_proba_+1;1.00355803872335;0.96372102007072
inter_20;0.998413715527918;155.956021222411;repro_proba_-1;0.996076143545929;1.03846341774044
inter_20;1.00237010124069;150.172433738593;fecundity_+1;1.00002326622851;0.999952278650268
inter_20;1.00232346234558;150.186768486794;fecundity_-1;0.99997673652839;1.00004772935165
inter_20;1.00235085667209;150.146916018554;size_t0_+1;1.00000406671694;0.999782363961779
inter_20;1.00234243395181;150.208557714241;size_t0_-1;0.999995663716658;1.00019281714901
inter_20;1.0024135379517;150.158243454081;survival_t0_+1;1.00006660124176;0.99985778988839
inter_20;1.00227937555514;150.201182586903;survival_t0_-1;0.999932752957729;1.00014370843309
conti_20;0.966285484411688;128.865258973149;baseline;1;1
conti_20;0.959764222026175;127.194855141349;survival_+1;0.993251205269338;0.987037593800612
conti_20;0.972272106178249;130.556799415218;survival_-1;1.00619550004956;1.01312642721203
conti_20;0.966703634959246;126.916269686113;Linf_+1;1.00043274017286;0.984875758582526
conti_20;0.965865314587359;130.872336549503;Linf_-1;0.999565170096098;1.01557500906255
conti_20;0.966390869183544;127.851249495324;k_+1;1.00010906173544;0.992131242462829
conti_20;0.966181121644346;129.896411011941;k_-1;0.999891995927678;1.00800178455395
conti_20;0.973505089333184;123.161116297037;repro_proba_+1;1.00747150302676;0.955735605379103
conti_20;0.958626250955276;134.698008905849;repro_proba_-1;0.992073529427926;1.0452623925112
conti_20;0.966428034332904;128.848892067595;fecundity_+1;1.0001475236082;0.999872992102887
conti_20;0.966142993848256;128.8816336204;fecundity_-1;0.999852537820623;1.00012706797303
conti_20;0.966252143915784;128.861388562045;size_t0_+1;0.999965496226072;0.999969965441931
conti_20;0.965844177671626;128.92504518303;size_t0_-1;0.999543295695547;1.00046394358229
conti_20;0.966357892211065;128.85665953382;survival_t0_+1;1.00007493416857;0.999933267977751
conti_20;0.966212364753758;128.873946992185;survival_t0_-1;0.999924329135531;1.00006741940462
conti_30;1.07430573966492;49.2986674803467;baseline;1;1
conti_30;1.07249217584847;48.5335842434081;survival_+1;0.998311873659899;0.984480650775326
conti_30;1.07591325754298;50.0883030769826;survival_-1;1.00149633183432;1.01601738215238
conti_30;1.07531890123862;48.6144487769318;Linf_+1;1.000943084949;0.986120949340311
conti_30;1.07328770149194;50.0044205601647;Linf_-1;0.999052375747989;1.01431586523306
conti_30;1.07493529999533;48.8855221163796;k_+1;1.00058601597959;0.991619542979902
conti_30;1.07367449164086;49.7196728878125;k_-1;0.999412413058265;1.0085398942605
conti_30;1.07982067953619;47.1770332849759;repro_proba_+1;1.00513349195452;0.956963660402856
conti_30;1.06888314415821;51.5132845638198;repro_proba_-1;0.994952465293165;1.04492245321551
conti_30;1.07493173229786;49.2755669796111;fecundity_+1;1.0005826950465;0.999531417340139
conti_30;1.07368061636295;49.321831558209;fecundity_-1;0.999418114156059;1.00046987229161
conti_30;1.07433189632281;49.2830494767507;size_t0_+1;1.00002434749897;0.999683196232389
conti_30;1.07428057513008;49.3136411534503;size_t0_-1;0.999976576002613;1.00030373383032
conti_30;1.07454073748394;49.2870909952695;survival_t0_+1;1.0002187438923;0.999765176511478
conti_30;1.07406852324274;49.3103737545154;survival_t0_-1;0.999779190957073;1.00023745619845
